code,term,definition,symptoms
ASU22.1,Amavata,"A systemic autoimmune disease primarily affecting joints, characterized by the accumulation of Ama (toxins) and vitiation of Vata dosha.","Joint pain (Sandhi Shula), Swelling (Sandhi Shotha), Morning stiffness (Stambha), Fever (Jwara), Body ache (Angamarda)"
ICD11-ME70.0,Rheumatoid arthritis,"A chronic inflammatory disorder that can affect more than just your joints. In some people, the condition can damage a wide variety of body systems, including the skin, eyes, lungs, heart and blood vessels.","Tender, warm, swollen joints; Joint stiffness that is usually worse in the mornings and after inactivity; Fatigue, fever and loss of appetite"
ASU25.14,Gridhrasi,"A painful condition characterized by radiating pain starting from the lower back (Kati) and moving down to the leg (Pada). It is caused by the aggravation of Vata dosha.","Sharp pain from lower back to leg (Ruja), Numbness (Stambha), Tingling (Toda), Difficulty in walking"
ICD11-M54.3,Sciatica,"Pain affecting the back, hip, and outer side of the leg, caused by compression of a spinal nerve root in the lower back, often owing to degeneration of an intervertebral disk.","Pain that radiates from your lower (lumbar) spine to your buttock and down the back of your leg is the hallmark of sciatica."
ASU.DI.01,Ardhavabhedaka,"A severe, unilateral (one-sided), throbbing headache, often associated with nausea and sensitivity to light and sound. Correlated with migraine.","Unilateral headache (Ardha Shirahshula), Throbbing pain (Toda), Photophobia (Prakasha Asahishnuta), Nausea (Hrillasa)"
ICD11-8A80.0,Migraine,"A primary headache disorder characterized by recurrent headaches that are moderate to severe. Typically, episodes affect one half of the head, are pulsating in nature, and last from a few hours to three days.","Severe, throbbing headache, usually on one side; Nausea and vomiting; Extreme sensitivity to light and sound"
ASU.GI.05,Grahani,"A disorder of the digestive system, particularly the small intestine (Grahani), leading to impaired digestion and absorption. Often correlated with Irritable Bowel Syndrome (IBS).","Altered bowel habits (Muhurbaddha/Muhurdrava Mala), Abdominal pain (Udara Shula), Bloating (Adhmana), Undigested food in stool"
ICD11-DD91,Irritable bowel syndrome,"A common disorder that affects the large intestine. Signs and symptoms include cramping, abdominal pain, bloating, gas, and diarrhea or constipation, or both.","Abdominal pain or cramping, a bloated feeling, gas, diarrhea or constipation"
ASU.RS.02,Tamaka Shwasa,"A type of bronchial asthma characterized by paroxysmal attacks of breathlessness, wheezing, and coughing, especially at night or in the early morning.","Difficulty in breathing (Shwasa Krichrata), Wheezing sound (Ghurgharaka), Cough (Kasa), Restlessness"
ICD11-CA23,Asthma,"A condition in which a person's airways become inflamed, narrow and swell, and produce extra mucus, which makes it difficult to breathe.","Shortness of breath, chest tightness or pain, wheezing when exhaling, trouble sleeping caused by shortness of breath"
ASU.SK.11,Vicharchika,"A skin disease characterized by itching (Kandu), vesicles (Pidaka), discharge (Srava), and discoloration. Correlated with Eczema or Atopic Dermatitis.","Intense itching, Dry and scaly patches (Rajyo), Oozing vesicles (Srava), Skin discoloration (Vaivarnya)"
ICD11-EK70,Atopic eczema,"A condition that causes dry, itchy and inflamed skin. It's common in young children but can occur at any age.","Dry skin, itching, which may be severe, especially at night, red to brownish-gray patches"
ASU.CV.01,Hridroga,"A general term for diseases of the heart (Hridaya). Often used for conditions involving chest pain, like angina.","Chest pain or discomfort (Ruja), Palpitations (Hrid-drava), Dyspnea (Shwasa), Fatigue (Klama)"
ICD11-BA40,Angina pectoris,"A type of chest pain caused by reduced blood flow to the heart muscles. It's not usually life-threatening, but it's a warning sign that you could be at risk of a heart attack or stroke.","Chest pain that may be described as pressure, squeezing, burning or tightness"
ASU.ND.03,Kampavata,"A neurological disorder caused by Vata aggravation, characterized by tremors (Kampa), rigidity (Stambha), and slow movements. Correlated with Parkinson's disease.","Tremors (Kampa), Stiffness (Stambha), Slowness of movement (Cheshta Sanga), Postural instability"
ICD11-8A00.0,Parkinson disease,"A progressive disorder that affects the nervous system and the parts of the body controlled by the nerves. Symptoms start slowly. The first symptom may be a barely noticeable tremor in just one hand.","Tremor, slowed movement (bradykinesia), rigid muscles, impaired posture and balance"
ASU.EN.01,Prameha,"A metabolic disorder characterized by excessive and turbid urination. Madhumeha, a subtype, is directly correlated with Diabetes Mellitus.","Excessive urination (Prabhuta Mutrata), Turbid urine (Avila Mutrata), Sweet taste in mouth (Madhurasya), Fatigue"
ICD11-5A11,Type 2 diabetes mellitus,"A chronic condition that affects the way the body processes blood sugar (glucose). With type 2 diabetes, the body either doesn't produce enough insulin, or it resists insulin.","Increased thirst, frequent urination, increased hunger, unintended weight loss, fatigue"
ASU.GI.08,Amlapitta,"A digestive disorder characterized by indigestion and a burning sensation in the chest and throat, caused by an increase of acidic and hot qualities. Correlated with Acid Peptic Disorder/GERD.","Burning sensation in chest and throat (Hrit-Kantha Daha), Sour belching (Amlodgara), Indigestion (Avipaka), Nausea"
ICD11-DA22,Gastro-oesophageal reflux disease,"A digestive disease in which stomach acid or bile irritates the food pipe lining. This is a chronic disease that occurs when stomach acid or, occasionally, stomach content, flows back into your food pipe (esophagus).","A burning sensation in your chest (heartburn), usually after eating, which might be worse at night, chest pain, difficulty swallowing"